All Ages,26494504,12849041,13645463

Age,Total,Male,Female
Under 1 Yr.,469979,242226,227753
1 Yrs.,423283,219061,204222
2 Yrs.,525992,268943,257049
3 Yrs.,555884,281631,274253
4 Yrs.,592825,303096,289729
5 Yrs.,661158,340356,320802
6 Yrs.,629016,320232,308784
7 Yrs.,628590,316893,311697
8 Yrs.,733228,378406,354822
9 Yrs.,552867,279289,273578
10 Yrs.,811748,418046,393702
11 Yrs.,562580,283595,278985
12 Yrs.,795076,410150,384926
13 Yrs.,628915,315152,313763
14 Yrs.,677105,337687,339418
15 Yrs.,652525,326490,326035
16 Yrs.,646092,320242,325850
17 Yrs.,537448,264109,273339
18 Yrs.,683624,338716,344908
19 Yrs.,412291,193634,218657
20 Yrs.,614478,278972,335506
21 Yrs.,390140,176558,213582
22 Yrs.,544172,241115,303057
23 Yrs.,392742,167109,225633
24 Yrs.,416539,180227,236312
25 Yrs.,612362,268029,344333
26 Yrs.,388253,168872,219381
27 Yrs.,355076,157846,197230
28 Yrs.,491692,214721,276971
29 Yrs.,231971,107775,124196
29 Yrs.,672076,293233,378843
31 Yrs.,197999,92860,105139
32 Yrs.,390998,176747,214251
33 Yrs.,238441,102771,135670
34 Yrs.,235791,104966,130825
35 Yrs.,651145,305300,345845
36 Yrs.,265672,122390,143282
37 Yrs.,197622,91930,105692
38 Yrs.,325857,144392,181465
39 Yrs.,164023,76188,87835
40 Yrs.,633338,302182,331156
41 Yrs.,153325,74803,78522
42 Yrs.,271072,132584,138488
43 Yrs.,175724,79076,96648
44 Yrs.,152662,71645,81017
45 Yrs.,497502,248418,249084
46 Yrs.,169802,82240,87562
47 Yrs.,142498,70866,71632
48 Yrs.,238448,113280,125168
49 Yrs.,124709,60297,64412
50 Yrs.,461166,231432,229734
51 Yrs.,122201,63579,58622
52 Yrs.,187518,97240,90278
53 Yrs.,122944,59152,63792
54 Yrs.,111647,54461,57186
55 Yrs.,325656,166985,158671
56 Yrs.,133004,67633,65371
57 Yrs.,110264,56490,53774
58 Yrs.,156511,75559,80952
59 Yrs.,92828,46225,46603
60 Yrs.,372753,181835,190918
61 Yrs.,97394,48943,48451
62 Yrs.,124968,60184,64784
63 Yrs.,84835,39776,45059
64 Yrs.,76877,37713,39164
65 Yrs.,250384,119867,130517
66 Yrs.,70347,35132,35215
67 Yrs.,77435,39094,38341
68 Yrs.,109252,57685,51567
69 Yrs.,47031,26004,21027
70 Yrs.,203030,98890,104140
71 Yrs.,43776,23322,20454
72 Yrs.,71477,36852,34625
73 Yrs.,43990,23156,20834
74 Yrs.,32880,17390,15490
75 Yrs.,104640,50295,54345
76 Yrs.,33162,17315,15847
77 Yrs.,31962,16111,15851
78 Yrs.,46064,23467,22597
79 Yrs.,19307,10170,9137
80 Yrs.,61809,28602,33207
81 Yrs.,15774,8307,7467
82 Yrs.,19054,9656,9398
83 Yrs.,14936,7777,7159
84 Yrs.,17204,8445,8759
85 Yrs.,22668,10732,11936
86 Yrs.,9242,4520,4722
87 Yrs.,7716,3842,3874
88 Yrs.,8883,4605,4278
89 Yrs.,4017,2111,1906
90 Yrs.,11516,4974,6542
91 Yrs.,2624,1216,1408
92 Yrs.,2842,1245,1597
93 Yrs.,1933,853,1080
94 Yrs.,1420,652,768
95 Yrs.,3433,1444,1989
96 Yrs.,1080,440,640
97 Yrs.,831,266,565
98 Yrs.,1050,393,657
99 Yrs.,1248,477,771
100 + Yrs.,3566,1181,2385